epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8628.44,1.29923,0.6344,1.539,0.8332,0.71401,0.79014,0.47292,1.34335,0.66162,1.75046,0.0012862,0.0012862,0.0012862
43,8773.17,1.29961,0.63733,1.53906,0.83475,0.72705,0.79278,0.47848,1.33548,0.6635,1.74898,0.0012562,0.0012562,0.0012562
44,9084.57,1.2994,0.63515,1.53408,0.8326,0.73006,0.79231,0.47893,1.32412,0.657,1.73448,0.00122596,0.00122596,0.00122596
45,9247.49,1.29419,0.62956,1.54371,0.83598,0.72569,0.79623,0.48117,1.32987,0.65854,1.74738,0.00119551,0.00119551,0.00119551
46,9454.14,1.28372,0.62705,1.53274,0.82576,0.7326,0.79244,0.47769,1.32708,0.64953,1.73155,0.00116487,0.00116487,0.00116487
47,9595.32,1.30085,0.63262,1.54173,0.81539,0.74435,0.79331,0.47908,1.32103,0.662,1.73541,0.00113408,0.00113408,0.00113408
48,9836.99,1.28288,0.6227,1.52301,0.8265,0.74353,0.79977,0.48404,1.32489,0.64837,1.73734,0.00110317,0.00110317,0.00110317
49,9994.02,1.28801,0.61849,1.52346,0.82346,0.73512,0.7947,0.48167,1.32743,0.64352,1.73555,0.00107216,0.00107216,0.00107216
50,10149.8,1.27617,0.61219,1.52949,0.81574,0.74365,0.79747,0.48668,1.3185,0.64785,1.72276,0.0010411,0.0010411,0.0010411
51,10317.6,1.2786,0.61581,1.52573,0.83303,0.73085,0.79615,0.48426,1.30834,0.64211,1.71692,0.00101,0.00101,0.00101
52,10465.4,1.27906,0.61122,1.52431,0.82977,0.74586,0.80293,0.48823,1.31511,0.63844,1.72303,0.000978903,0.000978903,0.000978903
53,10641.9,1.26208,0.60775,1.51048,0.8324,0.7422,0.80179,0.48851,1.31264,0.63953,1.71803,0.000947837,0.000947837,0.000947837
54,10771.8,1.27255,0.60688,1.5227,0.8439,0.73956,0.80207,0.49082,1.32007,0.63775,1.71841,0.000916833,0.000916833,0.000916833
55,12521.3,1.26834,0.61015,1.52304,0.84275,0.74574,0.80758,0.49351,1.30262,0.63724,1.70619,0.00088592,0.00088592,0.00088592
56,12683.7,1.26552,0.60823,1.51594,0.8433,0.74753,0.81036,0.49378,1.30542,0.63077,1.7092,0.00085513,0.00085513,0.00085513
57,12828.1,1.26278,0.59728,1.51759,0.8328,0.74538,0.80568,0.49137,1.30137,0.6257,1.70137,0.000824492,0.000824492,0.000824492
58,13124.7,1.26253,0.60078,1.50907,0.84331,0.73725,0.80513,0.49318,1.29847,0.63105,1.70044,0.000794038,0.000794038,0.000794038
59,13272.1,1.25266,0.59546,1.51057,0.85785,0.73738,0.80862,0.49502,1.29934,0.63168,1.71071,0.000763797,0.000763797,0.000763797
60,13503.3,1.25281,0.59582,1.51208,0.83396,0.74431,0.80586,0.49584,1.29383,0.62623,1.71135,0.000733799,0.000733799,0.000733799
61,13643.5,1.24541,0.59004,1.49796,0.86752,0.72477,0.80571,0.49621,1.29266,0.6216,1.71059,0.000704073,0.000704073,0.000704073
62,13814.2,1.25207,0.59669,1.50952,0.86034,0.73344,0.80564,0.49688,1.2918,0.62081,1.71396,0.000674649,0.000674649,0.000674649
63,13974.4,1.24616,0.58893,1.50155,0.8379,0.74253,0.80645,0.49617,1.29307,0.6219,1.70857,0.000645557,0.000645557,0.000645557
64,14125.8,1.23785,0.58142,1.50055,0.85954,0.73454,0.8102,0.49806,1.2928,0.62353,1.70907,0.000616824,0.000616824,0.000616824
65,14263.9,1.23875,0.58329,1.49911,0.86088,0.73704,0.81163,0.49869,1.2906,0.62072,1.7028,0.000588479,0.000588479,0.000588479
66,14475.5,1.24157,0.58061,1.50551,0.84775,0.7466,0.81122,0.49976,1.29416,0.61967,1.70271,0.000560549,0.000560549,0.000560549
67,14866.2,1.23989,0.57898,1.49456,0.85512,0.74356,0.81152,0.49887,1.292,0.61905,1.69998,0.000533064,0.000533064,0.000533064
68,15011.2,1.24757,0.58243,1.48995,0.85872,0.74273,0.81197,0.49861,1.28945,0.61967,1.69874,0.000506049,0.000506049,0.000506049
69,15159,1.23291,0.5784,1.50229,0.85875,0.74355,0.81192,0.4998,1.28558,0.61662,1.69595,0.000479531,0.000479531,0.000479531
70,15348.9,1.22847,0.57108,1.48537,0.86303,0.74432,0.81333,0.50146,1.28424,0.61613,1.69553,0.000453537,0.000453537,0.000453537
