epoch,train_loss,train_acc,val_loss,val_acc
1,12.17918095158046,2.0144395023528654e-05,12.379608653244398,0.0
2,11.767208899227063,0.0001974150712305808,13.352267338521372,0.0
3,11.324041633996943,0.0005358409076258622,14.084957765155337,0.0
4,10.919378313098878,0.0013214723135434796,14.275601689046239,0.0
5,10.552401091369617,0.0029249661574163605,14.406403481771186,0.0
6,10.22783000785962,0.004737961709533939,14.450018893522113,0.0
7,9.939320571462689,0.008440501514858506,14.36733917696579,0.0
8,9.67573155473404,0.013142203313350094,14.225509856857945,0.0
9,9.430976373225802,0.019955037710307485,14.296786400310998,0.0
10,9.21507149705387,0.03042206536453297,14.235560042784215,0.0
11,9.019667327208069,0.042637626506800745,14.275103368663386,0.0
12,8.863074076934147,0.0555421259588732,14.265485931383159,0.0
1,12.0277428793921,3.223103203764585e-05,11.696265449169863,0.0003907603309780288
